symbols,themes,symbol_to_themes,ideology,self_perception,writing_style
"Proclamation, Emperor of the United States of America, Empire, Resign, tribute, Norton I., Emperor of the United States of North America","Authority, Power, Governance, Respect, Duty, Failure, Defiance","Proclamation->Authority, Emperor of the United States of America->Power, Empire->Governance, Resign->Defiance, tribute->Respect, Norton I., Emperor of the United States of North America->Power","Autocracy, Imperialism",,"Formal, Assertive, Commanding"
"Mexico, Italy, Napoleon III, Montezumas, 5th day of July 10000 troops, Norton I., Emperor of the U. S. Of North America, Headquarters, San Francisco, California","political intervention, protection, stability, power, authority","Mexico->political intervention, Italy->political intervention, Napoleon III->protection, Montezumas->authority, 5th day of July->stability, 10000 troops->power, Norton I., Emperor of the U. S. Of North America->authority, Headquarters, San Francisco, California->power","imperialism, interventionism",,"formal, authoritative, directive"
"Musical Hall, Fire, National Convention, 1st day of February, 5th day of February, Assembly Hall, Kearny street, Norton I., Emperor of the United States Of America, Headquarters, San Francisco","Disaster and recovery, Authority and command, Change in plans","Musical Hall->Disaster and recovery, Fire->Disaster and recovery, National Convention->Authority and command, 1st day of February->Change in plans, 5th day of February->Change in plans, Assembly Hall->Change in plans, Kearny street->Change in plans, Norton I., Emperor of the United States Of America->Authority and command, Headquarters->Authority and command, San Francisco->Disaster and recovery",,,"Formal, Authoritative"
"lying and deceitful spirits, truthful spirits, Insane Asylums, preachers of Spiritualism, heavenly and earthly subjects","deception, truth, spirituality, madness, authority","lying and deceitful spirits->deception, truthful spirits->truth, Insane Asylums->madness, preachers of Spiritualism->spirituality, heavenly and earthly subjects->spirituality","authoritarian, skeptical",,"formal, authoritative"
"Emperor Norton, Imperial Majesty, Assembly Hall, National Convention, Imperial Address, National Congress, Republican form of Government, General Revenue Laws, Independent Emperor and Supreme Council, Russian form of Government, American Nation, Emperor of the United States of North America, Kearny and Post streets, Assembly Hall","Monarchy, Imperialism, Democracy, Governance, National Identity, Power, Corruption, Public Voice, Suffrage, Foreign Relations, Immigration, Slavery, Unity, Diversity, Law and Justice","Emperor Norton->Monarchy, Imperial Majesty->Imperialism, National Convention->Democracy, Imperial Address->Governance, National Congress->Democracy, Republican form of Government->Democracy, General Revenue Laws->Law and Justice, Independent Emperor and Supreme Council->Monarchy, Russian form of Government->Imperialism, American Nation->National Identity, Emperor of the United States of North America->Monarchy, Kearny and Post streets->National Identity, Assembly Hall->Governance","Monarchist, Imperialist, Nationalist",,"Satirical, Formal, Persuasive, Provocative"
"Emperor Norton, Governor Downey, the Bulkhead question, one million dollars, Europe, alliance, High Sheriff, scrip, Princess Alice of England","Authority, Power, Financial need, International relations, Delusions of grandeur","Emperor Norton->Authority, Power; Governor Downey->Power; the Bulkhead question->Authority; one million dollars->Financial need; Europe->International relations; alliance->International relations; High Sheriff->Authority, Power; scrip->Financial need; Princess Alice of England->Delusions of grandeur, International relations","Monarchism, Absolutism",,"Formal, Proclamatory, Grandiose"
"promissory notes, Norton, Note Shavers","fraud, public caution, forgery","promissory notes->fraud, Norton->public caution, Note Shavers->forgery",,,"formal, direct, urgent"
"Republican form of government, Absolute Monarchy, Peace, Prosperity and Happiness, National Advancement, dissolve the Republic of the United States, null and of no effect, enforcing the heretofore existing laws and regulations","change in government, monarchy, dissolution of republic, power transition, enforcement of existing laws","Republican form of government->change in government, Absolute Monarchy->monarchy, dissolve the Republic of the United States->dissolution of republic, null and of no effect->power transition, enforcing the heretofore existing laws and regulations->enforcement of existing laws","monarchist, authoritarian",,"proclamation, authoritative, formal"
"war, Peace of Europe, Emperor, Dictator of the Peace, Cabana of Louis Napoleon Bonaparte and Count Von Bismark, scalps, wigwam, war trophy, Off with their heads, courts and punished by death, usages and regulations of war, Empress","conflict, power, authority, peace, violation of laws, punishment, demand and command, social peace","war->conflict, Peace of Europe->peace, Emperor->authority, Dictator of the Peace->power, Cabana of Louis Napoleon Bonaparte and Count Von Bismark->violation of laws, scalps->punishment, wigwam->demand and command, war trophy->violation of laws, Off with their heads->punishment, courts and punished by death->violation of laws, usages and regulations of war->authority, Empress->social peace","absolutism, autocracy",,"formal, assertive, authoritative, commanding"
"Proclamations by the Emperor, Louis Napoleon Bonaparte, Prussian King, Norton I, French and English subjects, Emperor of China, America, murderers","power, war, accountability, protection, justice","Proclamations by the Emperor->power, Louis Napoleon Bonaparte->war, Prussian King->power, Norton I->accountability, French and English subjects->protection, Emperor of China->accountability, America->protection, murderers->justice","authoritarian, nationalist, imperialist",,"formal, direct, authoritative"
"Norton I, Del Gratia Emperor of the United States and Protector of Mexico, Mercantile Gift Lottery, tickets, banishment","royal decree, authority, power, punishment","Norton I, Del Gratia Emperor of the United States and Protector of Mexico->royal decree, authority, power, Mercantile Gift Lottery, tickets->gambling, banishment->punishment","authoritarian, monarchical",,"formal, authoritative, pompous"
"Phlipmagilder Alamagoozalum Whangdoodlum Larryum Murrayum, Police, Thomas Mooney, Cohen and Stanford, Norton I, Dei Gratia, Emperor of the United States and Protector of Mexico","Treason, Authority, Abuse of Power, Injustice","Phlipmagilder Alamagoozalum Whangdoodlum Larryum Murrayum->Treason, Police->Authority, Thomas Mooney->Injustice, Cohen and Stanford->Abuse of Power","Authoritarian, Punitive, Protective",,"Formal, Proclamatory, Authoritative, Confrontational"
"September 17th, Pacific Appeal, UNREDEEMABLE bonds, Emperor Norton","Local vocabulary, Historical reference","September 17th->Historical reference, Pacific Appeal->Historical reference, UNREDEEMABLE bonds->Local vocabulary, Emperor Norton->Historical reference",,,"Informative, Historical"
"Colonel John Scott, General Wm. T. Sherman, Minister Washburne, the Grand Hotel","power, authority, dissatisfaction, treason","Colonel John Scott->treason, General Wm. T. Sherman->favor, Minister Washburne->exceeding instructions, the Grand Hotel->dissatisfaction","authoritarian, egocentric",,"commanding, authoritative, formal"
"French Fair, scrip, City Hall, Bella Union Theater","media criticism, personal reputation, government administration, forgery, public nuisance","French Fair->personal reputation, scrip->personal reputation, City Hall->government administration, Bella Union Theater->public nuisance","authoritarian, defensive, critical",,"formal, authoritative, accusatory"
"Minister Plenipotentiary, Chinese Mandarin, Imperial Court at Pekin, French massacre at Tien-Tsin, Norton I, Dei Gratia Emperor Of the United States and Protector of Mexico, French and English governments, Van Dieman, Main Street Wharf","political power, international diplomacy, authority, conflict resolution","Minister Plenipotentiary->political power, Chinese Mandarin->international diplomacy, Imperial Court at Pekin->political power, French massacre at Tien-Tsin->conflict resolution, Norton I->authority, Dei Gratia Emperor Of the United States and Protector of Mexico->authority, French and English governments->international diplomacy, Van Dieman->authority, Main Street Wharf->authority","authoritarian, nationalistic, diplomatic",,"formal, authoritative, declarative"
"Emperor Norton, Visionary Isles, High Cockalorum of Lordnozawhat, Peripatetics Brigade of San Fsanoieoo, deceitful article, pig-tailed Chinaman, indignation meeting, suppression of the New York Weekly, laughing stock of nations","Power, Deception, Public Image, Suppression, Humiliation","Emperor Norton->Power, Visionary Isles->Power, High Cockalorum of Lordnozawhat->Power, Peripatetics Brigade of San Fsanoieoo->Power, deceitful article->Deception, pig-tailed Chinaman->Public Image, indignation meeting->Suppression, suppression of the New York Weekly->Suppression, laughing stock of nations->Humiliation","Authoritarian, Satirical",,"Formal, Humorous, Sarcastic"
"advertisement, Indigent Asylum, royal prerogatives, forged article, royal signature, beautiful stories, royal fee","power, deception, punishment, charity, exploitation","advertisement->power, Indigent Asylum->deception, royal prerogatives->power, forged article->deception, royal signature->exploitation, beautiful stories->deception, royal fee->exploitation","authoritarian, opportunistic",,"formal, assertive, satirical"
"telegraph, Czar and Government of Russia, Europe, war, imperial family affairs, garroting, Brenham Place, Police Commissioners, seasons, rains, churches, Almighty God of the Universe, earth","power, authority, war, crime, religion, nature","telegraph->communication, Czar and Government of Russia->power, Europe->war, imperial family affairs->authority, garroting->crime, Brenham Place->location, Police Commissioners->authority, seasons->time, rains->nature, churches->religion, Almighty God of the Universe->religion, earth->nature","authoritarian, religious, concerned",,"formal, authoritative, directive"
"telegraphic dispatches, oath of allegiance, Imperial authority","abuse of power, authority, communication","telegraphic dispatches->communication, oath of allegiance->authority, Imperial authority->abuse of power","autocracy, authority",,"formal, commanding, authoritative"
"Norton I, Dei Gratia Emperor of the United States and Protector of Mexico, estate, interest, trust, credentials, Attorney-General of the State","authority, responsibility, legitimacy, personal identity","Norton I, Dei Gratia Emperor of the United States and Protector of Mexico->authority, responsibility, legitimacy; estate, interest, trust->responsibility, legitimacy; credentials->legitimacy; Attorney-General of the State->authority","imperialism, absolutism, autocracy",,"formal, authoritative, commanding"
"Imperial seal and signature, Royal Commissioners, public lands and private water lots, estate and lands, public and Amador war debts","Authority, Ownership, Imperial control, Public debt, Taxation","Imperial seal and signature->Authority, Royal Commissioners->Ownership, public lands and private water lots->Imperial control, estate and lands->Ownership, public and Amador war debts->Public debt, Taxation","Imperialism, Authoritarianism",,"Formal, Authoritative"
"Miners’ League, Sutter Creek, laborers, laws of the State and of the Empire, organization, arrest, army, annihilate, friends, foes, loyal subjects, enemies, Norton I, Dei Gratia Emperor of the U. S. and Protector of Mexico, Responsible Person, credentials, Estudillo Ranch, depredations, estate","authority, power, control, law and order, conflict, social hierarchy","Miners’ League->conflict, Sutter Creek->location of conflict, laborers->social hierarchy, laws of the State and of the Empire->authority, organization->power, arrest->control, army->power, annihilate->conflict, friends->loyalty, foes->conflict, loyal subjects->social hierarchy, enemies->conflict, Norton I->authority, Dei Gratia Emperor of the U. S. and Protector of Mexico->power, Responsible Person->responsibility, credentials->authority, Estudillo Ranch->location of conflict, depredations->conflict, estate->property","authoritarian, imperialistic",,"formal, authoritative, commanding"
"City Hall lots, sale, seal and signature, fleet, scene of difficulties","authority, rights, territorial claims, international relations, protection","City Hall lots->authority, seal and signature->rights, fleet->international relations, scene of difficulties->territorial claims","assertive, authoritative",,"formal, commanding, assertive"
"Norton I, Bill Tweed, Dick Connolly, Pete Sweeny, A. O’Key Hall, Empire City, bondsmen, royal family, New York Post-office, defalcation, Paymaster, United States Army","fraud, justice, accountability, national honor, disgrace, crime and punishment","Norton I->justice, accountability, Bill Tweed, Dick Connolly, Pete Sweeny, A. O’Key Hall->fraud, disgrace, Empire City->national honor, disgrace, bondsmen->accountability, royal family->national honor, New York Post-office, defalcation->fraud, Paymaster, United States Army->crime and punishment","law and order, justice, accountability",,"proclamation, authoritative, formal"
"terrestrial globe, war, death, pestilence, famine, devastation, rain, garden, False Lights, poppies, True Lights, Omniscilentes, Love and Truth","Religious conflict, purification and interpretation of religious texts, unity in religion, criticism of religious sectarianism","terrestrial globe->worldwide religious conflict, war->religious conflict, death, pestilence, famine, devastation, rain->consequences of religious conflict, garden->Religion, False Lights->wrong interpretations of the Bible, poppies->ephemerality of wrong interpretations, True Lights->correct interpretations of the Bible, Omniscilentes->eternal truth and love in religion, Love and Truth->core values in religion","Liberal, anti-sectarian, advocate for unity in religion",,"Persuasive, metaphorical, allegorical, authoritative"
"funds, Empire, private personal estate, Norton I, banking-house of John Sime & Co., charitable funds","financial security, personal wealth, imperial power, protection of assets","funds->financial security, Empire->imperial power, private personal estate->personal wealth, Norton I->personal wealth, banking-house of John Sime & Co.->financial security, charitable funds->protection of assets",,,"formal, authoritative, declarative"
"Mexican Government, Emperor of the U. S., Protector of Mexico, annexing their country to the U. S.","Inadequacy of existing government, Imperialism, Power assertion","Mexican Government->Inadequacy of existing government, Emperor of the U. S.->Imperialism, Protector of Mexico->Power assertion, annexing their country to the U. S.->Imperialism","Imperialistic, Authoritative",,"Authoritative, Direct, Commanding"
"The Internationals, Norton Emperor of the United states and Protector of Mexico, police","political secrecy, fear, authority, law enforcement","The Internationals->political secrecy, fear; Norton Emperor of the United states and Protector of Mexico->authority; police->law enforcement","authoritarian, traditionalist",,"formal, authoritative, direct"
"Snow-Melting Machine, mountains, winter season, water supply, expense, millions","Innovation, Financial Management, Resource Optimization","Snow-Melting Machine->Innovation, mountains->Resource Optimization, winter season->Resource Optimization, water supply->Innovation, expense->Financial Management, millions->Financial Management",,,"Formal, Authoritative, Persuasive"
"false gods, idols, wooden gods and idols, pure moral teachings of Confucius, great Creator above","religious beliefs, cultural conflict, authority, imperialism","false gods->religious beliefs, idols->religious beliefs, wooden gods and idols->cultural conflict, pure moral teachings of Confucius->cultural conflict, great Creator above->religious beliefs","imperialist, authoritarian, monotheistic",,"formal, commanding, authoritative"
"Embassy from Japan, Duke Alexia, military forces of the empire","diplomacy, international relations, respect and courtesy, command and authority","Embassy from Japan->diplomacy, international relations; Duke Alexia->respect and courtesy; military forces of the empire->command and authority",,,"formal, commanding, respectful"
"title to the land, City Hall, Emperor Norton, deed, foundation stone","ownership, authority, foresight","title to the land->ownership, City Hall->authority, Emperor Norton->authority, deed->ownership, foundation stone->foresight",,,"formal, authoritative, commanding"
"Union Pacific and Central Pacific Railroads, double tracks, steam communication between San Francisco and Australia","progress, communication, unity, international relations","Union Pacific and Central Pacific Railroads->progress, double tracks->communication, steam communication between San Francisco and Australia->international relations","progressive, ambitious, proactive",,"commanding, formal, authoritative"
"Central Pacific Railroad, Imperial dignitary, Empire, Norton I, Emperor U. S. and Protector of Mexico","rebellion, personal prerogative and dignity, fraud, power, rights","Central Pacific Railroad->rebellion, Imperial dignitary->power, Empire->fraud, Norton I, Emperor U. S. and Protector of Mexico->rights","autocratic, imperialistic",,"formal, commanding, accusatory"
"Corner Stone of the new City Hall, Departure, foundation of Honor and Justice","New beginnings, Honor, Justice","Corner Stone of the new City Hall->New beginnings, Departure->New beginnings, foundation of Honor and Justice->Honor, Justice","Nationalism, Progressivism",,"Formal, Rhetorical"
"Cannibalism, Fiji Islanders, army and navy","Civilization, Education, Power, Conquest","Cannibalism->Barbarity, Fiji Islanders->Victims of Civilization, army and navy->Power and Conquest","Imperialism, Civilizing mission",,"Formal, Authoritative"
"Emperor, skates, rinks, Superintendent, toecorns","abuse of power, rebellion, privilege, personal rights","Emperor->abuse of power, skates->privilege, rinks->personal rights, Superintendent->rebellion, toecorns->personal rights","authoritarian, self-righteous",,"decree-like, authoritative, self-important"
"suspension bridge, Central Pacific Railroad Company, deeds of lands, our Empire, Imperial signature, Norton I","authority, development, transportation, infrastructure, territory","suspension bridge->infrastructure, Central Pacific Railroad Company->transportation, deeds of lands->territory, our Empire->authority, Imperial signature->authority, Norton I->authority",,,"formal, declarative, authoritative"
"Imperial likeness, show window, picture, elevator, Bradley & Rulofson, Bush of Market street","authority, rebellion, penalty, banishment, disposition","Imperial likeness->authority, show window->rebellion, picture->authority, elevator->penalty, Bradley & Rulofson->rebellion, Bush of Market street->penalty","authoritarian, commanding, imperial",,"formal, authoritative, commanding"
"San Francisco, Norton I, Dei Gratia, Emperor of the United States and Protector of Mexico, Sovereignty, British Empire, personal position, interests, nation, private personal purse, inheritance, Alabama Arbitrators, Great Britain, George IV, funds, estate, Washington, Joshua Norton, merchants, Algoa Bay, Cape of Good Hope, royal persecution, purification for the crown, jealousy, Queen Victoria","conflict, sacrifice, claim, control, deprivation, persecution","Norton I->sacrifice, Sovereignty->conflict, personal position->sacrifice, interests->sacrifice, nation->conflict, private personal purse->claim, inheritance->claim, Alabama Arbitrators->claim, Great Britain->conflict, George IV->claim, funds->control, estate->control, Washington->sacrifice, Joshua Norton->deprivation, merchants->deprivation, Algoa Bay->deprivation, Cape of Good Hope->deprivation, royal persecution->persecution, purification for the crown->persecution, jealousy->persecution, Queen Victoria->persecution",,,"formal, assertive, authoritative"
"Opera, Opera Bouffe, Norton I","refinement of public taste, support for the arts, fear of abandonment","Opera->refinement of public taste, Opera Bouffe->support for the arts, Norton I->fear of abandonment","support for the arts, fear of abandonment",,"formal, authoritative, commanding"
"Central and Union Pacific Railroads, snow-sheds and snow melting apparatus, San Francisco","national welfare, infrastructure development, overcoming natural barriers","Central and Union Pacific Railroads->national welfare, infrastructure development; snow-sheds and snow melting apparatus->overcoming natural barriers; San Francisco->infrastructure development","progressivism, nationalism",,"formal, commanding"
"German war vessel, Kaiser William, Prince Bismarck, sovereignty of the United States and Mexico, Norton I, Dei gratia Emperor of the United States and Protector of Mexico, Prussian Government","distrust, power, conflict, protection, sovereignty","German war vessel->conflict, Kaiser William and Prince Bismarck->power and distrust, sovereignty of the United States and Mexico->sovereignty and protection, Norton I, Dei gratia Emperor of the United States and Protector of Mexico->power and protection, Prussian Government->distrust and power","nationalistic, protective, distrustful",,"formal, authoritative, direct"
"CROWN POINT, fraudulent mining corporations, directors","fraud, corruption, justice, mining, corporate responsibility","CROWN POINT->mining, fraudulent mining corporations->fraud,corruption, directors->corporate responsibility","justice, anti-corruption",,"formal, authoritative, commanding"
"seven o’clock ferry, overland train, Mr. Short, grain merchant, Chicago, document, pencil, fifty cents, 7 per cent bonds, 1880, agent, private estate, Government of Norton I., Royal Seal, Signature, Norton I. Emperor","fraud, deception, authority, power, trust, manipulation","Mr. Short->fraud, deception, grain merchant->authority, power, document->trust, manipulation, Royal Seal, Signature, Norton I. Emperor->authority, power","skepticism, cynicism, realism",,"detailed, descriptive, ironic"
"California Pacific Railroad, heavy rains, additional track, franchise","importance of infrastructure, authority, urgency, accountability","California Pacific Railroad->importance of infrastructure, heavy rains->urgency, additional track->improvement, franchise->accountability","authoritarian, pragmatic",,"formal, commanding"
"Bank of California, private estate, Imperial funds, signature, Norton I, Emperor of the United Stated and Protector of Mexico, affairs of the bank, private and Imperial accounts, penalty of dissolving the present directory and the appointment of another","Authority, Control, Transparency, Accountability","Bank of California->Control, private estate->Authority, Imperial funds->Control, signature->Accountability, Norton I->Authority, Emperor of the United Stated and Protector of Mexico->Authority, affairs of the bank->Transparency, private and Imperial accounts->Transparency, penalty of dissolving the present directory and the appointment of another->Accountability",,,"Formal, Authoritative, Commanding"
"Emperor, royal prerogatives, Theatres, Imperial guard, Norton I","Authority, Dignity, Rebellion","Emperor->Authority, royal prerogatives->Authority, Theatres->Rebellion, Imperial guard->Dignity, Norton I->Authority",,,"Formal, Commanding"
"Oakland Point, Norton I, Dei gratia Emperor of the United States and Protector of Mexico, cities of Oakland and San Francisco, tunnel under water, railroad communication, Imperial seal","Authority, Command, Infrastructure development, Communication","Oakland Point->Infrastructure development, Norton I->Authority, Dei gratia Emperor of the United States and Protector of Mexico->Authority, cities of Oakland and San Francisco->Communication, tunnel under water->Infrastructure development, railroad communication->Communication, Imperial seal->Authority",,,"Formal, Commanding, Authoritative"
"Board of Brokers, Stock Exchange, fraudulent stock, Chief of Police, Invisible Isles","business ethics, market manipulation, accountability, deception, corruption","Board of Brokers->business ethics, Stock Exchange->market manipulation, fraudulent stock->deception, Chief of Police->accountability, Invisible Isles->corruption","economic fairness, justice, law enforcement",,"formal, assertive, direct"
"Col. W. H. L. Barnes, sylvan retreats, sphere of woman’s usefulness, public honors, Mrs. Emily Pitts-Stevens, martial powers, Norton I","retirement, gender equality, meritocracy","Col. W. H. L. Barnes->retirement, sylvan retreats->retirement, sphere of woman’s usefulness->gender equality, public honors->meritocracy, Mrs. Emily Pitts-Stevens->gender equality, martial powers->meritocracy, Norton I->meritocracy","egalitarianism, feminism",,"formal, ceremonial, authoritative"
"ferry ticket, elderly gentleman, home, overroute, Empire","fraud, illegality, loss of franchise, command","ferry ticket->fraud, elderly gentleman->home, overroute->loss of franchise, Empire->command",,,"formal, authoritative, old-fashioned"
"Pacific Mail Steamship Company, $2000, arrest of the President","Financial dispute, Authority, Command","Pacific Mail Steamship Company->Financial dispute, $2000->Financial dispute, arrest of the President->Authority, Command",,,"Formal, Assertive"
"bribe voters, corrupt parties, ruin","corruption, unfit leadership, punishment and reward, ruin","bribe voters->corruption, corrupt parties->unfit leadership, ruin->end results of corruption","anti-corruption, meritocracy, accountability",,"direct, warning, authoritative"
"George Francis Train, City of San Francisco, Norton I, Dei gratia Emperor of the United States and Protector of Mexico, Fort Alcatraz, California","authority, banishment, prestige, Royal decree, arrest, confinement","George Francis Train->banishment, City of San Francisco->prestige, Norton I, Dei gratia Emperor of the United States and Protector of Mexico->authority, Fort Alcatraz->confinement, California->banishment",,,"formal, authoritative, legal"
"Treaties and Commercial Relations with China, Norton I., Emperor of the United States and Protector of Mexico, Standing Committee, laborers, San Francisco, 21st day of August, 1872","International relations, labor issues, protection of commerce, prevention of outrages and wrongs","Treaties and Commercial Relations with China->International relations, Norton I., Emperor of the United States and Protector of Mexico->Protection of commerce, Standing Committee->Labor issues, laborers->Prevention of outrages and wrongs","Protectionism, Fair trade, Labor rights",,"Formal, authoritarian, directive"
"telegram, royal person, North Carolina quarrels","conflict, neutrality, power","telegram->communication, royal person->power, North Carolina quarrels->conflict",,,"formal, distant, authoritative"
"Emperor, Railroad switches, Goat Island, Nap. I.","Influence in politics, Advice, Consequences of not heeding advice","Emperor->Influence in politics, Railroad switches->Advice, Goat Island->Consequences of not heeding advice, Nap. I.->Influence in politics",,,"Formal, Historical"
"telegram, Norton I., Emperor of the U. S. and Protector of Mexico, banishment","authority, deceit, retribution","telegram->deceit, Norton I., Emperor of the U. S. and Protector of Mexico->authority, banishment->retribution",,,"formal, authoritative, grandiose"
"Emperor Norton, Railroad Switch, spiral or elliptic spring, Europe, America, patent, City Gardens","Innovation, Entrepreneurship, Nationalism","Emperor Norton->Entrepreneurship, Railroad Switch->Innovation, spiral or elliptic spring->Innovation, Europe->Nationalism, America->Nationalism, patent->Entrepreneurship, City Gardens->Entrepreneurship",,,"Descriptive, Formal, Factual"
"decree, suspension bridge, tunnel, authority, royal hand and seal","authority, neglect, command, arrest","decree->authority, suspension bridge->neglect, tunnel->neglect, authority->command, royal hand and seal->authority",,,"formal, authoritative"
"Emperor of United States and Protector of Mexico, National Convention, Norton I, elections for presidents","Political power, Governance, Law enforcement, Bias in law","Emperor of United States and Protector of Mexico->Political power, National Convention->Governance, Norton I->Law enforcement, elections for presidents->Bias in law","Authoritarian, Centralist",,"Formal, Decisive"
"diamond discoveries, private estates of the Emperor, Norton I, Emperor of the United States and Protector of Mexico, diamond fields","authority, ownership, prohibition, legitimacy","diamond discoveries->wealth, private estates of the Emperor->power and authority, Norton I->legitimate authority, Emperor of the United States and Protector of Mexico->political power and control, diamond fields->wealth and resources","authoritarian, imperialistic",,"formal, authoritative, declarative"
"Emperor, suicidal financial policy, Republican Government, national credit, Empire, national interest, private estates, capitals at home and abroad","financial crisis, political criticism, national interest","Emperor->political criticism, suicidal financial policy->financial crisis, Republican Government->political criticism, national credit->financial crisis, Empire->political criticism, national interest->financial crisis, private estates->financial crisis, capitals at home and abroad->financial crisis","anti-republican, pro-monarchy, financial conservatism",,"declarative, authoritative, critical"
"Goldsmith Maid and Lucy, Empire, seal, Norton I","power, authority, command, dignity","Goldsmith Maid and Lucy->power, Empire->authority, seal->command, Norton I->dignity",,,"formal, commanding, authoritative"
"Scientific agriculture, Secretary of State, Seal, Norton I, Dei Gratia Emperor United States and Protector of Mexico, Hon. Horace Greeley, 7th day of November, 1872","Progress, Encouragement, Appointment, Authority, Leadership","Scientific agriculture->Progress, Secretary of State->Leadership, Seal->Authority, Norton I->Leadership, Dei Gratia Emperor United States and Protector of Mexico->Authority, Hon. Horace Greeley->Leadership, 7th day of November, 1872->Appointment",,,"Formal, Authoritative, Historical"
